inFFT[299].im, 0x00000000,
inFFT[300].re, 0x00002000,
inFFT[300].im, 0x00000000,
inFFT[301].re, 0xFFFFF800,
inFFT[301].im, 0x00000000,
inFFT[302].re, 0xFFFFD000,
inFFT[302].im, 0x00000000,
inFFT[303].re, 0xFFFFB800,
inFFT[303].im, 0x00000000,
inFFT[304].re, 0xFFFFB400,
inFFT[304].im, 0x00000000,
inFFT[305].re, 0xFFFFC800,
inFFT[305].im, 0x00000000,
inFFT[306].re, 0xFFFFF000,
inFFT[306].im, 0x00000000,
inFFT[307].re, 0x00001800,
inFFT[307].im, 0x00000000,
inFFT[308].re, 0x00003400,
inFFT[308].im, 0x00000000,
inFFT[309].re, 0x00003800,
inFFT[309].im, 0x00000000,
inFFT[310].re, 0x00002000,
inFFT[310].im, 0x00000000,
inFFT[311].re, 0xFFFFF800,
inFFT[311].im, 0x00000000,
inFFT[312].re, 0xFFFFD000,
inFFT[312].im, 0x00000000,
inFFT[313].re, 0xFFFFB800,
inFFT[313].im, 0x00000000,
inFFT[314].re, 0xFFFFB000,
inFFT[314].im, 0x00000000,
inFFT[315].re, 0xFFFFC800,
inFFT[315].im, 0x00000000,
inFFT[316].re, 0xFFFFF000,
inFFT[316].im, 0x00000000,
inFFT[317].re, 0x00001800,
inFFT[317].im, 0x00000000,
inFFT[318].re, 0x00003400,
inFFT[318].im, 0x00000000,
inFFT[319].re, 0x00003800,
inFFT[319].im, 0x00000000,
inFFT[320].re, 0x00002000,
inFFT[320].im, 0x00000000,
inFFT[321].re, 0xFFFFFC00,
inFFT[321].im, 0x00000000,
inFFT[322].re, 0xFFFFD000,
inFFT[322].im, 0x00000000,
inFFT[323].re, 0xFFFFB400,
inFFT[323].im, 0x00000000,
inFFT[324].re, 0xFFFFB000,
inFFT[324].im, 0x00000000,
inFFT[325].re, 0xFFFFC800,
inFFT[325].im, 0x00000000,
inFFT[326].re, 0xFFFFF000,
inFFT[326].im, 0x00000000,
inFFT[327].re, 0x00001800,
inFFT[327].im, 0x00000000,
inFFT[328].re, 0x00003400,
inFFT[328].im, 0x00000000,
inFFT[329].re, 0x00003800,
inFFT[329].im, 0x00000000,
inFFT[330].re, 0x00002000,
inFFT[330].im, 0x00000000,
inFFT[331].re, 0xFFFFF800,
inFFT[331].im, 0x00000000,
inFFT[332].re, 0xFFFFD000,
inFFT[332].im, 0x00000000,
inFFT[333].re, 0xFFFFB400,
inFFT[333].im, 0x00000000,
inFFT[334].re, 0xFFFFB400,
inFFT[334].im, 0x00000000,
inFFT[335].re, 0xFFFFC800,
inFFT[335].im, 0x00000000,
inFFT[336].re, 0xFFFFF000,
inFFT[336].im, 0x00000000,
inFFT[337].re, 0x00001800,
inFFT[337].im, 0x00000000,
inFFT[338].re, 0x00003000,
inFFT[338].im, 0x00000000,
inFFT[339].re, 0x00003800,
inFFT[339].im, 0x00000000,
inFFT[340].re, 0x00002000,
inFFT[340].im, 0x00000000,
inFFT[341].re, 0xFFFFF800,
inFFT[341].im, 0x00000000,
inFFT[342].re, 0xFFFFD000,
inFFT[342].im, 0x00000000,
inFFT[343].re, 0xFFFFB800,
inFFT[343].im, 0x00000000,
inFFT[344].re, 0xFFFFB000,
inFFT[344].im, 0x00000000,
inFFT[345].re, 0xFFFFC800,
inFFT[345].im, 0x00000000,
inFFT[346].re, 0xFFFFF000,
inFFT[346].im, 0x00000000,
inFFT[347].re, 0x00001800,
inFFT[347].im, 0x00000000,
inFFT[348].re, 0x00003400,
inFFT[348].im, 0x00000000,
inFFT[349].re, 0x00003400,
inFFT[349].im, 0x00000000,
inFFT[350].re, 0x00002000,
inFFT[350].im, 0x00000000,
inFFT[351].re, 0xFFFFF800,
inFFT[351].im, 0x00000000,
inFFT[352].re, 0xFFFFD000,
inFFT[352].im, 0x00000000,
inFFT[353].re, 0xFFFFB800,
inFFT[353].im, 0x00000000,
inFFT[354].re, 0xFFFFB000,
inFFT[354].im, 0x00000000,
inFFT[355].re, 0xFFFFC800,
inFFT[355].im, 0x00000000,
inFFT[356].re, 0xFFFFF000,
inFFT[356].im, 0x00000000,
inFFT[357].re, 0x00001800,
inFFT[357].im, 0x00000000,
inFFT[358].re, 0x00003400,
inFFT[358].im, 0x00000000,
inFFT[359].re, 0x00003800,
inFFT[359].im, 0x00000000,
inFFT[360].re, 0x00002000,
inFFT[360].im, 0x00000000,
inFFT[361].re, 0xFFFFF800,
inFFT[361].im, 0x00000000,
inFFT[362].re, 0xFFFFD000,
inFFT[362].im, 0x00000000,
inFFT[363].re, 0xFFFFB400,
inFFT[363].im, 0x00000000,
inFFT[364].re, 0xFFFFB000,
inFFT[364].im, 0x00000000,
inFFT[365].re, 0xFFFFC800,
inFFT[365].im, 0x00000000,
inFFT[366].re, 0xFFFFF000,
inFFT[366].im, 0x00000000,
inFFT[367].re, 0x00001800,
inFFT[367].im, 0x00000000,
inFFT[368].re, 0x00003400,
inFFT[368].im, 0x00000000,
inFFT[369].re, 0x00003800,
inFFT[369].im, 0x00000000,
inFFT[370].re, 0x00002000,
inFFT[370].im, 0x00000000,
inFFT[371].re, 0xFFFFF800,
inFFT[371].im, 0x00000000,
inFFT[372].re, 0xFFFFD000,
inFFT[372].im, 0x00000000,
inFFT[373].re, 0xFFFFB400,
inFFT[373].im, 0x00000000,
inFFT[374].re, 0xFFFFB000,
inFFT[374].im, 0x00000000,
inFFT[375].re, 0xFFFFC800,
inFFT[375].im, 0x00000000,
inFFT[376].re, 0xFFFFF000,
inFFT[376].im, 0x00000000,
inFFT[377].re, 0x00001C00,
inFFT[377].im, 0x00000000,
inFFT[378].re, 0x00003400,
inFFT[378].im, 0x00000000,
inFFT[379].re, 0x00003800,
inFFT[379].im, 0x00000000,
inFFT[380].re, 0x00002000,
inFFT[380].im, 0x00000000,
inFFT[381].re, 0xFFFFF800,
inFFT[381].im, 0x00000000,
inFFT[382].re, 0xFFFFD000,
inFFT[382].im, 0x00000000,
inFFT[383].re, 0xFFFFB400,
inFFT[383].im, 0x00000000,
inFFT[384].re, 0xFFFFB400,
inFFT[384].im, 0x00000000,
inFFT[385].re, 0xFFFFC800,
inFFT[385].im, 0x00000000,
inFFT[386].re, 0xFFFFF000,
inFFT[386].im, 0x00000000,
inFFT[387].re, 0x00001C00,
inFFT[387].im, 0x00000000,
inFFT[388].re, 0x00003400,
inFFT[388].im, 0x00000000,
inFFT[389].re, 0x00003400,
inFFT[389].im, 0x00000000,
